Model,fuelModelType,loadLitter,load1hr,load10hr,load100hr,loadLiveHerb,loadLiveWoody,savLitter,sav1hr,sav10hr,sav100hr,savLiveHerb,savLiveWoody,fuelBedDepth,mxDead,heat,description,source
SG10,D,4.88,0,1.12,0.089,1.68,5.6,1000,640,358,98,1500,640,25.29,25,9200,Sage Brush with Grass Moderate,SageBrush and Grass Models (Ottmas 2007) and Weise1997
SG11,D,4.838,0,2.2417,0.246,1.68,5.6,1000,640,358,98,1500,640,35.53,25,9200,Sage Brush with Grass Tall,SageBrush and Grass Models (Ottmas 2007) and Weise1997
SG9,D,2.039,0,1.1208,0.156,1.68,5.6,1000,640,358,98,1500,640,29.44,25,9200,Sage Brush with Grass in Douglas-Fir,SageBrush and Grass Models (Ottmas 2007) and Weise1997
SG8,D,0.51,0.58,0.56,0.807,1.68,5.6,1000,640,358,98,1500,640,24.38,25,9200,Sage Brush with Grass in Juniper,SageBrush and Grass Models (Ottmas 2007) and Weise1997
PPJ09,D,0.336,0.717,0.63,1.23,1.45,2.46,1200,640,358,98,1500,500,39,30,14000,Ponderosa Pine over Grasses (25%) and Juniper,SageBrush and Grass Models (Ottmas 2007) and Weise1997
